summary,threshold
Mean,50
Mean,100
Mean,150
Mean,200
Mean,250
Mean,300
Mean,350
Mean,400
Mean,450
Mean,500
Mean,550
Mean,600
Mean,650
Mean,700
Mean,750
Mean,800
Mean,850
Mean,900
Mean,950
Mean,1000
Mean,1050
Mean,1100
Mean,1150
Mean,1200
Mean,1250
Mean,1300
Mean,1350
Mean,1400
Mean,1450
Mean,1500
Mean,1550
Mean,1600
Mean,1650
Mean,1700
Mean,1750
Mean,1800
Mean,1850
Mean,1900
Mean,1950
Mean,2000
Mean,2050
Mean,2100
Mean,2150
Mean,2200
Mean,2250
Mean,2300
Mean,2350
Mean,2400
Mean,2450
Mean,2500
SD,50
SD,100
SD,150
SD,200
SD,250
SD,300
SD,350
SD,400
SD,450
SD,500
SD,550
SD,600
SD,650
SD,700
SD,750
SD,800
SD,850
SD,900
SD,950
SD,1000
SD,1050
SD,1100
SD,1150
SD,1200
SD,1250
SD,1300
SD,1350
SD,1400
SD,1450
SD,1500
SD,1550
SD,1600
SD,1650
SD,1700
SD,1750
SD,1800
SD,1850
SD,1900
SD,1950
SD,2000
SD,2050
SD,2100
SD,2150
SD,2200
SD,2250
SD,2300
SD,2350
SD,2400
SD,2450
SD,2500
